sex__age_group__bmi_cat,count
1 | 60-69 | obesity,69
1 | 70-79 | obesity,54
1 | 70-79 | overweight,51
1 | 70-79 | normal,50
1 | 60-69 | normal,48
1 | 60-69 | overweight,41
2 | 70-79 | overweight,35
2 | 70-79 | obesity,30
2 | 70-79 | normal,26
2 | 60-69 | obesity,22
2 | 60-69 | overweight,18
2 | 60-69 | normal,14
1 | 80+ | normal,12
1 | 70-79 | low,12
1 | 80+ | overweight,11
2 | 80+ | normal,5
1 | 80+ | obesity,5
1 | <60 | normal,4
1 | 60-69 | low,4
2 | 80+ | overweight,4
2 | 60-69 | low,3
2 | 70-79 | low,3
1 | <60 | overweight,2
1 | <60 | obesity,2
2 | 80+ | obesity,2
2 | <60 | normal,2
1 | 80+ | low,1
